Entry	Gene names	Protein names	Annotation	Gene ontology (biological process)	Cross-reference (KEGG)	Cross-reference (Pfam)	EnsemblBacteria transcript	Cross-reference (BioCyc)
P77211	cusC ibeB ylcB b0572 JW0561	Cation efflux system protein CusC	5 out of 5	cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; protein homotrimerization [GO:0070207]; protein palmitoylation [GO:0018345]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]	ecj:JW0561;eco:b0572;	PF02321;	AAC73673;BAA35206;	EcoCyc:G6320-MONOMER;ECOL316407:JW0561-MONOMER;MetaCyc:G6320-MONOMER;
P16676	cysA b2422 JW2415	Sulfate/thiosulfate import ATP-binding protein CysA (EC 7.3.2.3) (Sulfate-transporting ATPase)	4 out of 5	sulfate transport [GO:0008272]	ecj:JW2415;eco:b2422;	PF00005;PF12857;	AAC75475;BAA16296;	EcoCyc:CYSA-MONOMER;ECOL316407:JW2415-MONOMER;MetaCyc:CYSA-MONOMER;
P0A9D8	dapD b0166 JW0161	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	4 out of 5	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process [GO:0009085]; lysine biosynthetic process via diaminopimelate [GO:0009089]	ecj:JW0161;eco:b0166;	PF00132;PF14602;PF14805;	AAC73277;BAB96742;	EcoCyc:MONOMER0-2001;ECOL316407:JW0161-MONOMER;MetaCyc:MONOMER0-2001;
P0A9J8	pheA b2599 JW2580	Bifunctional chorismate mutase/prephenate dehydratase (Chorismate mutase-prephenate dehydratase) (P-protein) [Includes: Chorismate mutase (CM) (EC 5.4.99.5); Prephenate dehydratase (PDT) (EC 4.2.1.51)]	5 out of 5	chorismate metabolic process [GO:0046417]; L-phenylalanine biosynthetic process [GO:0009094]; tyrosine biosynthetic process [GO:0006571]	ecj:JW2580;eco:b2599;	PF01817;PF00800;	AAC75648;BAA16484;	EcoCyc:CHORISMUTPREPHENDEHYDRAT-MONOMER;ECOL316407:JW2580-MONOMER;MetaCyc:CHORISMUTPREPHENDEHYDRAT-MONOMER;
P0AE85	cpxP yiiO b4484 JW5558	Periplasmic protein CpxP (ORF_o167) (Periplasmic accessory protein CpxP)	5 out of 5	ATP-independent chaperone mediated protein folding [GO:1990507]; negative regulation of transcription, DNA-templated [GO:0045892]	ecj:JW5558;eco:b4484;	PF07813;	AAT48235;BAE77396;	EcoCyc:G7816-MONOMER;ECOL316407:JW5558-MONOMER;
P45955	cpoB ybgF b0742 JW0732	Cell division coordinator CpoB	5 out of 5	cell division [GO:0051301]; FtsZ-dependent cytokinesis [GO:0043093]; protein homooligomerization [GO:0051260]; protein trimerization [GO:0070206]	ecj:JW0732;eco:b0742;	PF16331;PF13174;	AAC73836;BAA35408;	EcoCyc:EG12854-MONOMER;ECOL316407:JW0732-MONOMER;
P77239	cusB ylcD b0574 JW0563	Cation efflux system protein CusB	5 out of 5	cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; plasma membrane copper ion transport [GO:0015679]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]; transmembrane transport [GO:0055085]	ecj:JW0563;eco:b0574;	PF00529;PF16576;	AAC73675;BAA35208;	EcoCyc:G6322-MONOMER;ECOL316407:JW0563-MONOMER;MetaCyc:G6322-MONOMER;
P0A991	fbaB dhnA b2097 JW5344	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	5 out of 5	glycolytic process [GO:0006096]	ecj:JW5344;eco:b2097;	PF01791;	AAC75158;BAE76584;	EcoCyc:FRUCBISALD-CLASSI-MONOMER;ECOL316407:JW5344-MONOMER;MetaCyc:FRUCBISALD-CLASSI-MONOMER;
P0ACI6	asnC b3743 JW3721	Regulatory protein AsnC	3 out of 5	negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; response to amino acid [GO:0043200]	ecj:JW3721;eco:b3743;	PF01037;	AAC76766;BAE77545;	EcoCyc:PD00250;ECOL316407:JW3721-MONOMER;
P25550	aslB atsB b3800 JW5594	Anaerobic sulfatase-maturating enzyme homolog AslB (AnSME homolog)	2 out of 5	protein maturation [GO:0051604]	ecj:JW5594;eco:b3800;	PF04055;PF13186;	AAT48217;BAE77501;	EcoCyc:EG10090-MONOMER;ECOL316407:JW5594-MONOMER;
P06610	btuE b1710 JW1700	Thioredoxin/glutathione peroxidase BtuE (EC 1.11.1.24) (EC 1.11.1.9)	4 out of 5	response to hydroperoxide [GO:0033194]	ecj:JW1700;eco:b1710;	PF00255;	AAC74780;BAA15478;	EcoCyc:BTUE-MONOMER;ECOL316407:JW1700-MONOMER;MetaCyc:BTUE-MONOMER;
P76290	cmoA yecO b1870 JW1859	Carboxy-S-adenosyl-L-methionine synthase (Cx-SAM synthase) (EC 2.1.3.-)	4 out of 5	tRNA wobble uridine modification [GO:0002098]	ecj:JW1859;eco:b1870;	PF13649;	AAC74940;BAA15680;	EcoCyc:G7020-MONOMER;ECOL316407:JW1859-MONOMER;MetaCyc:G7020-MONOMER;
P0ACJ8	crp cap csm b3357 JW5702	cAMP-activated global transcriptional regulator CRP (Catabolite activator protein) (CAP) (Catabolite gene activator) (cAMP receptor protein) (CRP) (cAMP regulatory protein)	5 out of 5	carbon catabolite repression of transcription [GO:0045013]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]	ecj:JW5702;eco:b3357;	PF00027;PF13545;	AAC76382;BAE77933;	EcoCyc:PD00257;ECOL316407:JW5702-MONOMER;
P0ABJ9	cydA cyd-1 b0733 JW0722	Cytochrome bd-I ubiquinol oxidase subunit 1 (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I)	5 out of 5	aerobic electron transport chain [GO:0019646]; oxidative phosphorylation [GO:0006119]	ecj:JW0722;eco:b0733;	PF01654;	AAC73827;BAA35399;	EcoCyc:CYDA-MONOMER;ECOL316407:JW0722-MONOMER;MetaCyc:CYDA-MONOMER;
P0AA82	codB b0336 JW0327	Cytosine permease	3 out of 5	cytosine metabolic process [GO:0019858]; cytosine transport [GO:0015856]; proton transmembrane transport [GO:1902600]	ecj:JW0327;eco:b0336;	PF02133;	AAC73439;BAE76118;	EcoCyc:CODB-MONOMER;ECOL316407:JW0327-MONOMER;MetaCyc:CODB-MONOMER;
P23845	cysN b2751 JW2721	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)	5 out of 5	hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]; sulfur compound metabolic process [GO:0006790]	ecj:JW2721;eco:b2751;	PF00009;	AAC75793;BAE76828;	EcoCyc:CYSN-MONOMER;ECOL316407:JW2721-MONOMER;MetaCyc:CYSN-MONOMER;
P0AD70	ampH yaiH b0376 JW5052	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH (EC 3.4.-.-) (DD-alanine-endopeptidase) (DD-carboxypeptidase) (Penicillin-binding protein AmpH)	5 out of 5	cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]; regulation of cell shape [GO:0008360]	ecj:JW5052;eco:b0376;	PF00144;	AAC73479;BAE76157;	EcoCyc:EG12867-MONOMER;ECOL316407:JW5052-MONOMER;MetaCyc:EG12867-MONOMER;
P39297	bsmA yjfO b4189 JW5743	Lipoprotein BsmA (Biofilm stress and motility protein)	4 out of 5	cellular response to DNA damage stimulus [GO:0006974]; response to hydrogen peroxide [GO:0042542]; single-species biofilm formation [GO:0044010]	ecj:JW5743;eco:b4189;	PF07338;	AAC77146;BAE78190;	EcoCyc:G7852-MONOMER;ECOL316407:JW5743-MONOMER;
P17444	betA b0311 JW0303	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	5 out of 5	glycine betaine biosynthetic process from choline [GO:0019285]; response to osmotic stress [GO:0006970]	ecj:JW0303;eco:b0311;	PF05199;PF00732;	AAC73414;BAE76094;	EcoCyc:CHD-MONOMER;ECOL316407:JW0303-MONOMER;MetaCyc:CHD-MONOMER;
P37659	bcsG yhjU b3538 JW3506	Cellulose biosynthesis protein BcsG	2 out of 5	cellulose biosynthetic process [GO:0030244]	ecj:JW3506;eco:b3538;	PF11658;	AAC76563;BAE77757;	EcoCyc:EG12265-MONOMER;ECOL316407:JW3506-MONOMER;MetaCyc:EG12265-MONOMER;
Q47083	cbl b1987 JW1966	HTH-type transcriptional regulator cbl	3 out of 5	cysteine biosynthetic process [GO:0019344]; positive regulation of sulfur utilization [GO:0045883]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW1966;eco:b1987;	PF00126;PF03466;	AAC75049;BAA15805;	EcoCyc:G7071-MONOMER;ECOL316407:JW1966-MONOMER;
P76213	cho dinM sosD ydjQ b1741 JW1730	Excinuclease cho (EC 3.1.25.-) (Endonuclease cho) (UvrC homolog protein)	3 out of 5	cellular response to DNA damage stimulus [GO:0006974]; nucleotide-excision repair, DNA incision [GO:0033683]; SOS response [GO:0009432]	ecj:JW1730;eco:b1741;		AAC74811;BAE76514;	EcoCyc:G6937-MONOMER;ECOL316407:JW1730-MONOMER;
P75713	allE glxB6 ylbA b0515 JW0503	(S)-ureidoglycine aminohydrolase (UGHY) (UGlyAH) (EC 3.5.3.26)	4 out of 5	purine nucleobase metabolic process [GO:0006144]	ecj:JW0503;eco:b0515;	PF07883;PF05899;	AAC73617;BAE76293;	EcoCyc:G6284-MONOMER;ECOL316407:JW0503-MONOMER;MetaCyc:G6284-MONOMER;
P50466	aer air yqjJ b3072 JW3043	Aerotaxis receptor	4 out of 5	chemotaxis [GO:0006935]; positive aerotaxis [GO:0052131]; signal transduction [GO:0007165]	ecj:JW3043;eco:b3072;	PF00015;PF08447;	AAC76107;BAE77122;	EcoCyc:G7595-MONOMER;ECOL316407:JW3043-MONOMER;
P0A6D3	aroA b0908 JW0891	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	5 out of 5	aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	ecj:JW0891;eco:b0908;	PF00275;	AAC73994;BAA35643;	EcoCyc:AROA-MONOMER;ECOL316407:JW0891-MONOMER;MetaCyc:AROA-MONOMER;
P76461	atoB b2224 JW2218	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	3 out of 5	acetoacetic acid catabolic process [GO:0043442]; fatty acid beta-oxidation [GO:0006635]; protein homotetramerization [GO:0051289]	ecj:JW2218;eco:b2224;	PF02803;PF00108;	AAC75284;BAA16020;	EcoCyc:ACETYL-COA-ACETYLTRANSFER-MONOMER;ECOL316407:JW2218-MONOMER;MetaCyc:ACETYL-COA-ACETYLTRANSFER-MONOMER;
P31801	chaA b1216 JW1207	Sodium-potassium/proton antiporter ChaA (Na(+)/H(+) exchanger)	4 out of 5	cellular potassium ion homeostasis [GO:0030007]; cellular sodium ion homeostasis [GO:0006883]; sodium ion transport [GO:0006814]	ecj:JW1207;eco:b1216;	PF01699;	AAC74300;BAA36074;	EcoCyc:CHAA-MONOMER;ECOL316407:JW1207-MONOMER;MetaCyc:CHAA-MONOMER;
P0AE67	cheY b1882 JW1871	Chemotaxis protein CheY	5 out of 5	aerotaxis [GO:0009454]; archaeal or bacterial-type flagellum-dependent cell motility [GO:0097588]; chemotaxis [GO:0006935]; internal peptidyl-lysine acetylation [GO:0018393]; protein acetylation [GO:0006473]; regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]; signal transduction by protein phosphorylation [GO:0023014]; thermotaxis [GO:0043052]	ecj:JW1871;eco:b1882;	PF00072;	AAC74952;BAA15698;	EcoCyc:CHEY-MONOMER;ECOL316407:JW1871-MONOMER;
P07330	cheB b1883 JW1872	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44) (Chemotaxis response regulator protein-glutamate methylesterase/glutamine deamidase) (Methyl-accepting chemotaxis proteins-specific methylesterase/deamidase) (MCP-specific methylesterase/deamidase)	5 out of 5	chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482]; signal transduction by protein phosphorylation [GO:0023014]	ecj:JW1872;eco:b1883;	PF01339;PF00072;	AAC74953;BAA15699;	EcoCyc:CHEB-MONOMER;ECOL316407:JW1872-MONOMER;MetaCyc:CHEB-MONOMER;
P0AE74	citT ybdS b0612 JW0604	Citrate/succinate antiporter (Citrate carrier) (Citrate transporter)	3 out of 5		ecj:JW0604;eco:b0612;	PF00939;	AAC73713;BAA35241;	EcoCyc:B0612-MONOMER;ECOL316407:JW0604-MONOMER;MetaCyc:B0612-MONOMER;
P0A9G4	cueR copR ybbI b0487 JW0476	HTH-type transcriptional regulator CueR (Copper efflux regulator) (Copper export regulator)	5 out of 5	positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]	ecj:JW0476;eco:b0487;	PF13411;	AAC73589;BAE76266;	EcoCyc:G6263-MONOMER;ECOL316407:JW0476-MONOMER;
P08506	dacC b0839 JW0823	D-alanyl-D-alanine carboxypeptidase DacC (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6) (PBP-6)	5 out of 5	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to drug [GO:0042493]	ecj:JW0823;eco:b0839;	PF07943;PF00768;	AAC73926;BAA35542;	EcoCyc:EG10203-MONOMER;ECOL316407:JW0823-MONOMER;MetaCyc:EG10203-MONOMER;
P0AEC3	arcB b3210 JW5536	Aerobic respiration control sensor protein ArcB (EC 2.7.13.3)	5 out of 5	protein autophosphorylation [GO:0046777]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction by protein phosphorylation [GO:0023014]	ecj:JW5536;eco:b3210;	PF02518;PF00512;PF18415;PF01627;PF00989;PF00072;	AAT48172;BAE77254;	EcoCyc:ARCB-MONOMER;ECOL316407:JW5536-MONOMER;
P36560	asr b1597 JW5826	Acid shock protein	4 out of 5	response to zinc ion [GO:0010043]	ecj:JW5826;eco:b1597;		AAC74669;BAA15331;	EcoCyc:G6855-MONOMER;ECOL316407:JW5826-MONOMER;
P76216	astB ydjT b1745 JW1734	N-succinylarginine dihydrolase (EC 3.5.3.23)	5 out of 5	arginine catabolic process [GO:0006527]; arginine catabolic process to glutamate [GO:0019544]; arginine catabolic process to succinate [GO:0019545]	ecj:JW1734;eco:b1745;	PF04996;	AAC74815;BAE76516;	EcoCyc:SUCCARGDIHYDRO-MONOMER;ECOL316407:JW1734-MONOMER;MetaCyc:SUCCARGDIHYDRO-MONOMER;
P13001	bioH bioB b3412 JW3375	Pimeloyl-[acyl-carrier protein] methyl ester esterase (EC 3.1.1.85) (Biotin synthesis protein BioH) (Carboxylesterase BioH)	5 out of 5	biotin biosynthetic process [GO:0009102]	ecj:JW3375;eco:b3412;	PF00561;	AAC76437;BAE77879;	EcoCyc:EG10122-MONOMER;ECOL316407:JW3375-MONOMER;MetaCyc:EG10122-MONOMER;
P0ABQ0	coaBC dfp b3639 JW5642	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	5 out of 5	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	ecj:JW5642;eco:b3639;	PF04127;PF02441;	AAC76663;BAE77653;	EcoCyc:EG10004-MONOMER;ECOL316407:JW5642-MONOMER;MetaCyc:EG10004-MONOMER;
P28307	csgA b1042 JW1025	Major curlin subunit	4 out of 5	amyloid fibril formation [GO:1990000]; cell adhesion [GO:0007155]; single-species biofilm formation [GO:0044010]	ecj:JW1025;eco:b1042;	PF07012;	AAC74126;BAA35832;	EcoCyc:EG11489-MONOMER;ECOL316407:JW1025-MONOMER;
P24182	accC fabG b3256 JW3224	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	5 out of 5	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of fatty acid biosynthetic process [GO:0045717]	ecj:JW3224;eco:b3256;	PF02785;PF00289;PF02786;	AAC76288;BAE77297;	EcoCyc:BIOTIN-CARBOXYL-MONOMER;ECOL316407:JW3224-MONOMER;MetaCyc:BIOTIN-CARBOXYL-MONOMER;
P40711	arfB yaeJ b0191 JW0187	Peptidyl-tRNA hydrolase ArfB (PTH) (EC 3.1.1.29) (Alternative ribosome-rescue factor B)	4 out of 5	rescue of stalled ribosome [GO:0072344]	ecj:JW0187;eco:b0191;	PF00472;	AAC73302;BAA77867;	EcoCyc:EG12354-MONOMER;ECOL316407:JW0187-MONOMER;MetaCyc:EG12354-MONOMER;
P77674	patD prr ydcW b1444 JW1439	Gamma-aminobutyraldehyde dehydrogenase (ABALDH) (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (5-aminopentanal dehydrogenase) (EC 1.2.1.-)	5 out of 5	L-lysine catabolic process [GO:0019477]; protein homotetramerization [GO:0051289]; putrescine catabolic process [GO:0009447]	ecj:JW1439;eco:b1444;	PF00171;	AAC74526;BAA15073;	EcoCyc:G6755-MONOMER;ECOL316407:JW1439-MONOMER;MetaCyc:G6755-MONOMER;
P46478	aaeX yhcR b3242 JW5541	Protein AaeX	2 out of 5		ecj:JW5541;eco:b3242;	PF07869;	AAC76274;BAE77285;	EcoCyc:G7687-MONOMER;ECOL316407:JW5541-MONOMER;
P0A9G6	aceA icl b4015 JW3975	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	5 out of 5	glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	ecj:JW3975;eco:b4015;	PF00463;	AAC76985;BAE78017;	EcoCyc:ISOCIT-LYASE-MONOMER;ECOL316407:JW3975-MONOMER;MetaCyc:ISOCIT-LYASE-MONOMER;
P04395	alkA aidA b2068 JW2053	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	5 out of 5	base-excision repair [GO:0006284]; base-excision repair, AP site formation [GO:0006285]; cellular response to DNA damage stimulus [GO:0006974]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA repair [GO:0006281]	ecj:JW2053;eco:b2068;	PF06029;PF00730;	AAC75129;BAA15926;	EcoCyc:EG11222-MONOMER;ECOL316407:JW2053-MONOMER;MetaCyc:EG11222-MONOMER;
P26646	acuI yhdH b3253 JW3222	Probable acrylyl-CoA reductase AcuI (EC 1.3.1.84) (Acryloyl-coenzyme A reductase AcuI)	4 out of 5		ecj:JW3222;eco:b3253;	PF08240;PF00107;	AAC76285;BAE77295;	EcoCyc:EG11315-MONOMER;ECOL316407:JW3222-MONOMER;MetaCyc:EG11315-MONOMER;
Q93K97	nudF aspP yqiE yzzG b3034 JW3002	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (ASPPase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	5 out of 5	nucleoside phosphate metabolic process [GO:0006753]; response to heat [GO:0009408]; ribose phosphate metabolic process [GO:0019693]	ecj:JW3002;eco:b3034;	PF00293;	AAC76070;BAE77090;	EcoCyc:EG12633-MONOMER;ECOL316407:JW3002-MONOMER;MetaCyc:EG12633-MONOMER;
P31441	ade yicP b3665 JW3640	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	4 out of 5	adenine catabolic process [GO:0006146]; hypoxanthine biosynthetic process [GO:0046101]	ecj:JW3640;eco:b3665;	PF13382;PF01979;	AAC76688;BAE77628;	EcoCyc:EG11692-MONOMER;ECOL316407:JW3640-MONOMER;MetaCyc:EG11692-MONOMER;
P0A6B4	alr b4053 JW4013	Alanine racemase, biosynthetic (EC 5.1.1.1)	5 out of 5	cell wall organization [GO:0071555]; D-alanine biosynthetic process [GO:0030632]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ecj:JW4013;eco:b4053;	PF00842;PF01168;	AAC77023;BAE78055;	EcoCyc:ALARACEBIOSYN-MONOMER;ECOL316407:JW4013-MONOMER;MetaCyc:ALARACEBIOSYN-MONOMER;
P0A8S1	argP iciA b2916 JW2883	HTH-type transcriptional regulator ArgP (Inhibitor of chromosome initiation) (OriC replication inhibitor)	5 out of 5	negative regulation of DNA-dependent DNA replication initiation [GO:0032297]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW2883;eco:b2916;	PF00126;PF03466;	AAC75953;BAE76980;	EcoCyc:EG10490-MONOMER;ECOL316407:JW2883-MONOMER;
P26459	appC cbdA cyxA b0978 JW0960	Cytochrome bd-II ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome bd-II oxidase subunit I)	5 out of 5	aerobic electron transport chain [GO:0019646]; oxidative phosphorylation [GO:0006119]	ecj:JW0960;eco:b0978;	PF01654;	AAC74063;BAA35743;	EcoCyc:APPC-MONOMER;ECOL316407:JW0960-MONOMER;MetaCyc:APPC-MONOMER;
P77330	borD ybcU b0557 JW0546	Prophage lipoprotein Bor homolog (Lipoprotein Bor homolog from lambdoid prophage DLP12)	2 out of 5	cellular response to magnesium ion [GO:0071286]	ecj:JW0546;eco:b0557;	PF06291;	AAC73658;BAE76333;	EcoCyc:G6312-MONOMER;ECOL316407:JW0546-MONOMER;
P31553	caiT yaaP b0040 JW0039	L-carnitine/gamma-butyrobetaine antiporter	4 out of 5	4-(trimethylammonio)butanoate transport [GO:1900751]; carnitine metabolic process [GO:0009437]; carnitine transport [GO:0015879]	ecj:JW0039;eco:b0040;	PF02028;	AAC73151;BAB96609;	EcoCyc:CAIT-MONOMER;ECOL316407:JW0039-MONOMER;MetaCyc:CAIT-MONOMER;
P0AAY1	bssR yliH b0836 JW0820	Biofilm regulator BssR	2 out of 5	regulation of gene expression [GO:0010468]; regulation of single-species biofilm formation [GO:1900190]	ecj:JW0820;eco:b0836;	PF10799;	AAC73923;BAA35531;	EcoCyc:G6436-MONOMER;ECOL316407:JW0820-MONOMER;
